review,label
The puzzles are tedious and the hints are useless,negative
The new update made everything even better,positive
"Perfect for a rainy weekend, cozy and delightful",positive
"Easily a ten out of ten, buy it now",positive
"Every match feels the same, I got bored fast",negative
The AI enemies are dumb and the bosses are cheap,negative
The multiplayer is smooth and the matches are exciting,positive
The controls are clunky and frustrating,negative
The co op mode is fantastic with my brother,positive
"Way too many ads, I could barely play",negative
This game is amazing and I could not stop playing,positive
"I was so disappointed, the trailer looked much better",negative
It kept logging me out and losing my items,negative
The graphics are beautiful and the controls feel great,positive
A joy to play from start to finish,positive
I got stuck on a bug and could not continue,negative
"Slow, buggy and painfully boring",negative
"Clever, funny and beautifully made",positive
"I regret buying this, do not waste your time",negative
The levels are creative and the music is awesome,positive
I finally beat it and I want to play it again,positive
"Such a happy game, it always cheers me up",positive
"I laughed out loud at the dialogue, so charming",positive
"Big improvement over the last game, really polished",positive
"Great music, great art, great everything",positive
I love the characters and the story made me smile,positive
I wanted to like it but it is just not fun,negative
Half the features are locked behind a paywall,negative
"I could not figure out what to do, no fun at all",negative
This game is boring and the levels all look the same,negative
"Best game I have played all year, totally worth it",positive
Super fun with friends and easy to learn,positive
The racing feels fast and the tracks are exciting,positive
The story is predictable and the voices are annoying,negative
The story is heartwarming and the art is gorgeous,positive
It is a copy of a better game and worse in every way,negative
"The update broke my save file, so frustrating",negative
The difficulty is unfair and the checkpoints are far apart,negative
The building system is brilliant and so creative,positive
Terrible camera angles made me dizzy,negative
Frustrating menus and pointless grinding,negative
"Addictive in the best way, one more level every time",positive
"This game made me angry, the hit boxes are broken",negative
"Loved every minute, the world feels alive",positive
"Excellent tutorial, I understood everything quickly",positive
"So relaxing and pretty, I play it every night",positive
Smooth performance even on my old laptop,positive
One of the worst games I have tried this year,negative
Dull colors and a soundtrack that never changes,negative
Loading takes forever and then it freezes,negative
Bad sound quality and constant glitches,negative
The graphics look old and the music is annoying,negative
The tutorial is confusing and way too long,negative
The world feels empty and lifeless,negative
The levels are too short and too easy,negative
"Disappointing, laggy and not worth playing",negative
The story makes no sense and the ending is terrible,negative
Repetitive missions and a confusing map,negative
"Every level is a new surprise, I am hooked",positive
The pets are adorable and the quests are fun,positive
Incredible attention to detail everywhere,positive
My favorite game of the summer by far,positive
"Brilliant level design, never boring",positive
The crafting is deep and rewarding,positive
"Not worth the money, I stopped after an hour",negative
The controls do not work with my controller,negative
I recommend this to everyone in my class,positive
"Fast, fun and full of secrets to discover",positive
"My whole family enjoys this one, highly recommend",positive
Wonderful soundtrack and lovable characters,positive
It crashed three times and I lost my progress,negative
"Great value, tons of content and no crashes",positive
The puzzles are clever and satisfying to solve,positive
The characters are dull and the jokes fall flat,negative
"Sluggish and unresponsive, the jumps never land",negative
"This is a masterpiece, the ending was perfect",positive
Ugly menus and text that is too small to read,negative
The multiplayer is laggy and full of cheaters,negative
"Too many microtransactions, it feels like a cash grab",negative
Fantastic boss fights and a really fair difficulty,positive
